Date,Water Year,Survey Event,Season 2,Season 3,Bullfrogs,Bullfrog Time,Crayfish ,Regime,Species,Sex-stage,Length,Z.Spore.Equiv,Days.since.peak.Flow,Proceding.peak.flow,Daily.Flow,Drought.index,Water.temp,clutches,Bullfrog.distance
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,23,7428.00,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,23,3696.80,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,24,3159.20,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,24,3176.80,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,26,137269.60,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,26,100936.80,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,26,14552.80,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,29,41867.20,319,103.64,0.00,3.08,12,6,1.52
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,24,244.80,319,103.64,0.00,3.08,12,5,31.65
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,29,222.40,319,103.64,0.00,3.08,12,5,44.13
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,23,287.20,319,103.64,0.00,3.08,12,0,79.74
11/7/13,2014,1,dry,Fall,1,Recent,0,Diversion,RABO,JUV,28,7.22,319,103.64,0.00,3.08,12,0,57.52
11/22/13,2014,2,dry,Fall,1,Recent,0,Diversion,RABO,JUV,25,426.40,334,103.64,0.00,3.22,11,0,103.51
11/22/13,2014,2,dry,Fall,1,Recent,0,Diversion,RABO,JUV,33,0.00,334,103.64,0.00,3.22,11,0,103.51
2/25/14,2014,3,wet,WinterSpring,0,Absent,0,Unregulated,HYRE,F,36,0.76,429,96.56,0.00,4.44,9.9,0,7152.72
2/25/14,2014,3,wet,WinterSpring,0,Absent,0,Unregulated,RABO,F,64,0.00,429,96.56,0.00,4.44,9.9,2,7391.25
2/25/14,2014,3,wet,WinterSpring,0,Absent,0,Unregulated,RABO,F,69,0.00,429,96.56,0.00,4.44,9.9,0,7586.33
2/25/14,2014,3,wet,WinterSpring,0,Absent,0,Unregulated,RABO,JUV,32,0.00,429,96.56,0.00,4.44,9.9,0,7601.53
2/25/14,2014,4,wet,WinterSpring,1,Established,1,Diversion,RABO,F,56,0.00,429,103.64,0.01,4.14,11.3,4,21.62
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,JUV,24,0.00,429,121.76,0.01,3.52,11.3,0,63.28
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,39,0.00,429,121.76,0.01,3.52,11.3,0,98.31
